image,description,comments,state,UUID
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S053-00-N.jpg&v=00608,.5 mi N of I-25 Buisness Loop,Traffic furthest from camera traveling North,CO,CO1000014
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S059-N.jpg&v=00608,Butte Creek (RWIS),Butte Creek North,CO,CO1000015
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S059-S.jpg&v=00608,Butte Creek (RWIS),Butte Creek South,CO,CO1000016
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S066-50-N.jpg&v=00608,0.2 mi S of CR-670,Traffic furthest from camera traveling North,CO,CO1000017
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S066-50-S.jpg&v=00608,0.2 mi S of CR-670,Traffic closest to camera is moving South,CO,CO1000018
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25ApacheNorth.jpg&v=00608,Colorado City (LV),Traffic in lanes closest to camera moving North,CO,CO1000019
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25ApacheSouth.jpg&v=00608,Colorado City (LV),Traffic in lanes farthest from camera moving South,CO,CO1000020
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25ApacheRoadSurface.jpg&v=00608,Colorado City (LV),Surface Condition,CO,CO1000021
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N070-65-S.jpg&v=00608,0.6 mi S of Graneros Rd,Traffic closest to camera traveling South,CO,CO1000022
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N070-65-N.jpg&v=00608,0.6 mi S of Graneros Rd,Traffic furthest form camera traveling North,CO,CO1000023
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S075-00-S.jpg&v=00608,0.6 mi N of CO-165,Traffic closest to camera moving South,CO,CO1000024
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S075-00-N.jpg&v=00608,0.6 mi N of CO-165,Traffic furthest from camera moving North,CO,CO1000025
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S094-00-S.jpg&v=00608,0 .8 mi S of CO-45,Traffic closest to camera moving South,CO,CO1000026
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S094-00-N.jpg&v=00608,0 .8 mi S of CO-45,Traffic furthest away from camera moving North,CO,CO1000027
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N100-85-N.jpg&v=00608,29th St,Traffic in lanes closest to camera moving North,CO,CO1000028
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N100-85-S.jpg&v=00608,29th St,Traffic in lanes farthest from camera moving South,CO,CO1000029
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S101-35-N.jpg&v=00608,US-50/ CO-47 Int,Traffic in lanes farthest from camera moving North,CO,CO1000030
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S101-35-S.jpg&v=00608,US-50/ CO-47 Int,Traffic in lanes closest to camera moving South,CO,CO1000031
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S101-85-N.jpg&v=00608,0.4 mi N of US-50/CO-47,Traffic in lanes farthest from camera moving North,CO,CO1000032
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S101-85-S.jpg&v=00608,0.4 mi N of US-50/CO-47,Traffic in lanes closest to camera moving South,CO,CO1000033
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S109-95-N.jpg&v=00608,0.3 mi S of Pinon Rd Int,Traffic in lanes farthest from camera moving North,CO,CO1000034
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S109-95-S.jpg&v=00608,0.3 mi S of Pinon Rd Int,Traffic in lanes closest to camera moving South,CO,CO1000035
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25NodeBuildingNorth.jpg&v=00608,0.40 mi S of Pikes Peak Intl Exit (LV),Traffic closest to camera is moving North,CO,CO1000036
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25NodeBuildingSouth.jpg&v=00608,0.40 mi S of Pikes Peak Intl Exit (LV),Traffic closest to camera is moving North,CO,CO1000037
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25NodeBuildingRoadSurface.jpg&v=00608,0.40 mi S of Pikes Peak Intl Exit (LV),North Bound Lanes,CO,CO1000038
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S121-70-N.jpg&v=00608,PPIR Int,Traffic in lanes farthest from camera moving North,CO,CO1000039
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S121-70-S.jpg&v=00608,PPIR Int,Traffic in lanes closest to camera moving South,CO,CO1000040
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S124-00-N.jpg&v=00608,0.6 mi S of Ray Nixon Rd Int,Traffic in lanes farthest from camera moving North,CO,CO1000041
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S124-00-S.jpg&v=00608,0.6 mi S of Ray Nixon Rd Int,Traffic in lanes closest from camera moving South,CO,CO1000042
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S125-20-N.jpg&v=00608,0.6 mi N of Ray Nixon Rd Int,Traffic in lanes farthest from camera moving North,CO,CO1000043
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S125-20-S.jpg&v=00608,0.6 mi N of Ray Nixon Rd Int,Traffic in lanes closest to camera moving South,CO,CO1000044
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S128-00-N.jpg&v=00608,US-85 Santa Fe Ave (Fountain),Traffic in lanes farthest from camera moving North,CO,CO1000045
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S128-00-S.jpg&v=00608,US-85 Santa Fe Ave (Fountain),Traffic in lanes closest to camera moving South,CO,CO1000046
https://websvc.coloradosprings.gov/live/TOC/00109_I-25%20(mm135)%20_%20Academy.jpg,S Academy Blvd,Traffic in lanes closest to camera moving North,CO,CO1000047
https://websvc.coloradosprings.gov/live/TOC/00107_I-25%20(mm137)%20_%20Stratmoor%20Hills.jpg,Stratmoor Hills,Traffic in lanes closest to camera moving North,CO,CO1000048
https://websvc.coloradosprings.gov/live/TOC/00106_I-25%20(mm138)%20_%20Circle.jpg,Circle Dr,Traffic in lanes closest to camera moving North,CO,CO1000049
https://websvc.coloradosprings.gov/live/TOC/00103_I-25%20(mm140)%20_%20Tejon.jpg,Tejon St,Traffic in lanes closest to camera moving South,CO,CO1000050
https://websvc.coloradosprings.gov/live/TOC/00097_I-25%20(mm143)%20_%20Uintah.jpg,Uintah St,Traffic in lanes closest to camera moving North,CO,CO1000051
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S146-N.jpg&v=00608,Garden of the Gods (RWIS),Traffic in lanes closest to camera moving South,CO,CO1000052
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S146-S.jpg&v=00608,Garden of the Gods (RWIS),Traffic in lanes closest to camera moving North,CO,CO1000053
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S146-roadway.jpg&v=00608,Garden of the Gods (RWIS),Roadway,CO,CO1000054
https://websvc.coloradosprings.gov/live/TOC/00090_I-25%20(mm149)%20_%20Woodmen.jpg,Woodmen Rd,Traffic in lanes closest to camera moving North,CO,CO1000055
https://websvc.coloradosprings.gov/live/TOC/00088_I-25%20(mm150)%20_%20Academy.jpg,N Academy Blvd,Traffic in lanes closest to camera moving North,CO,CO1000056
https://websvc.coloradosprings.gov/live/TOC/00084_I-25%20(mm156)%20_%20Gleneagle.jpg,Gleneagle,Traffic in lanes closest to camera moving North,CO,CO1000057
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S160-75-N.jpg&v=00608,CO-105 2nd St,Traffic in lanes farthest from camera moving North,CO,CO1000058
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S160-75-S.jpg&v=00608,CO-105 2nd St,Traffic in lanes closest to camera moving South,CO,CO1000059
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N160-85-N.jpg&v=00608,CO-105 2nd St,Traffic closest to camera is travelling North,CO,CO1000060
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N160-85-S.jpg&v=00608,CO-105 2nd St,Traffic furthest from camera is travelling South,CO,CO1000061
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S162-90-N.jpg&v=00608,0.4 mi S of CO-404 County Line Rd,Traffic furthest from camera is travelling North,CO,CO1000062
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S162-90-S.jpg&v=00608,0.4 mi S of CO-404 County Line Rd,Traffic closest to camera is traveling South,CO,CO1000063
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S163-90-N.jpg&v=00608,0.5 mi N of CO 404/County Line Rd,Traffic furthest from camera is travelling North,CO,CO1000064
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S163-90-S.jpg&v=00608,0.5 mi N of CO 404/County Line Rd,Traffic closest to camera is travelling South,CO,CO1000065
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N166-80-N.jpg&v=00608,0.7 mi S of Greenland Rd,Traffic closest to camera is travelling North,CO,CO1000066
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N166-80-S.jpg&v=00608,0.7 mi S of Greenland Rd,Traffic furthest from camera is travelling South,CO,CO1000067
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S167-75-N.jpg&v=00608,0.3 mi N of Greenland Rd,Traffic in lanes farthest from camera moving North,CO,CO1000068
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S167-75-S.jpg&v=00608,0.3 mi N of Greenland Rd,Traffic in lanes closest to camera moving South,CO,CO1000069
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N168-90-N.jpg&v=00608,1.5 mi N of Greenland Rd,Traffic closest to camera is travelling North,CO,CO1000070
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N168-90-S.jpg&v=00608,1.5 mi N of Greenland Rd,Traffic furthest from camera is travelling South,CO,CO1000071
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N170-60-N.jpg&v=00608,1.3 mi S of Upper Lake Gulch Rd,Traffic closest to camera is travelling North,CO,CO1000072
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N170-60-S.jpg&v=00608,1.3 mi S of Upper Lake Gulch Rd,Traffic furthest from camera is travelling South,CO,CO1000073
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N172-40-N.jpg&v=00608,Spruce Mtn Rd,Traffic closest to camera is travelling North,CO,CO1000074
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N172-40-S.jpg&v=00608,Spruce Mtn Rd,Traffic furthest from camera is travelling South,CO,CO1000075
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S173-80-N.jpg&v=00608,Tomah Rd,Traffic in lanes farthest from camera moving North,CO,CO1000076
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S173-80-S.jpg&v=00608,Tomah Rd,Traffic in lanes closest to camera moving South,CO,CO1000077
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S175-40-N.jpg&v=00608,1.8 mi N of Tomah Rd,Traffic furthest from camera is travelling North,CO,CO1000078
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S175-40-S.jpg&v=00608,1.8 mi N of Tomah Rd,Traffic closest to camera is travelling South,CO,CO1000079
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S177-10-N.jpg&v=00608,3.8 mi S of Plum Creek Pkwy,Traffic furthest from camera is travelling North,CO,CO1000080
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S177-10-S.jpg&v=00608,3.8 mi S of Plum Creek Pkwy,Traffic closet to camera is travelling South,CO,CO1000081
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N179-70-N.jpg&v=00608,1.2 mi S of Plum Creek Pkwy,Traffic in lanes closest to camera moving North,CO,CO1000082
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N179-70-S.jpg&v=00608,1.2 mi S of Plum Creek Pkwy,Traffic in lanes farthest from camera moving South,CO,CO1000083
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S180-70-N.jpg&v=00608,Plum Creek Pkwy,Traffic furthest from traffic is travelling North,CO,CO1000084
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S180-70-S.jpg&v=00608,Plum Creek Pkwy,Traffic closest to camera is travelling South,CO,CO1000085
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N181-90-N.jpg&v=00608,Wolfensberger Int,Traffic closest to camera is moving North,CO,CO1000086
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N181-90-S.jpg&v=00608,Wolfensberger Int,Traffic furthest from camera is moving South,CO,CO1000087
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N182-65-N.jpg&v=00608,0.8 mi N of Wilcox St/Wolfensburger Rd,Traffic in lanes closest to camera moving North,CO,CO1000088
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N182-65-S.jpg&v=00608,0.8 mi N of Wilcox St/Wolfensburger Rd,Traffic in lanes farthest from camera moving South,CO,CO1000089
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N184-20-N.jpg&v=00608,Founders Pkwy,Traffic in lanes closest to camera moving North,CO,CO1000090
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N184-20-S.jpg&v=00608,Founders Pkwy,Traffic in lanes farthest from camera moving South,CO,CO1000091
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S185-10-N.jpg&v=00608,1.0 mi N of Founders Pkwy,Traffic in lanes farthest from camera moving North,CO,CO1000092
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S185-10-S.jpg&v=00608,1.0 mi N of Founders Pkwy,Traffic in lanes closest to camera moving South,CO,CO1000093
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25HappyCanyonRdNorth.jpg&v=00608,1.2 mi N of Castle Rock (LV),Traffic closest to camera is moving South,CO,CO1000094
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25HappyCanyonRdSouth.jpg&v=00608,1.2 mi N of Castle Rock (LV),Traffic closest to camera is moving South,CO,CO1000095
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25HappyCanyonRdRoadSurface.jpg&v=00608,1.2 mi N of Castle Rock (LV),Road Surface,CO,CO1000096
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N186-10-N.jpg&v=00608,0.8 mi S of Happy Canyon Rd,Traffic closest to camera is travelling North,CO,CO1000097
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N186-10-S.jpg&v=00608,0.8 mi S of Happy Canyon Rd,Traffic furthest from camera is travelling South,CO,CO1000098
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N186-90-S.jpg&v=00608,Happy Canyon Rd,Traffic in lanes closest to camera moving North,CO,CO1000099
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N186-90-N.jpg&v=00608,Happy Canyon Rd,Traffic in lanes farthest from camera moving South,CO,CO1000100
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N188-50-N.jpg&v=00608,Castle Pines Pkwy E,Traffic in lanes closest to camera moving North,CO,CO1000101
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N188-50-S.jpg&v=00608,Castle Pines Pkwy E,Traffic in lanes farthest from camera moving South,CO,CO1000102
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S188-50-N.jpg&v=00608,Castle Pines Pkwy W,Traffic in lanes closest to camera moving South,CO,CO1000103
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S188-50-S.jpg&v=00608,Castle Pines Pkwy W,Traffic in lanes farthest from camera moving North,CO,CO1000104
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N189-55-N.jpg&v=00608,0.9 mi N of Castle Pines Pkwy,Traffic in lanes closest to camera moving North,CO,CO1000105
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N189-55-S.jpg&v=00608,0.9 mi N of Castle Pines Pkwy,Traffic in lanes farthest from camera moving South,CO,CO1000106
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N191-45-N.jpg&v=00608,0.7 mi S of Ridgegate Pkwy,Traffic in lanes closest to camera moving North,CO,CO1000107
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N191-45-S.jpg&v=00608,0.7 mi S of Ridgegate Pkwy,Traffic in lanes farthest from camera moving South,CO,CO1000108
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S192-05-N.jpg&v=00608,Ridgegate Pkwy,Traffic furthest from camera is travelling North,CO,CO1000109
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S192-05-S.jpg&v=00608,Ridgegate Pkwy,Traffic closest to camera is travelling South,CO,CO1000110
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S193-00-N.jpg&v=00608,Lincoln Ave,Traffic in lanes farthest from camera moving North,CO,CO1000111
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S193-00-S.jpg&v=00608,Lincoln Ave,Traffic in lanes closest to camera moving South,CO,CO1000112
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S193-00-W.jpg&v=00608,Lincoln Ave,Traffic in lanes farthest from camera moving West on Lincoln,CO,CO1000113
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N195-15-N.jpg&v=00608,County Line Rd,Traffic in lanes closest to camera moving North,CO,CO1000114
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N195-15-S.jpg&v=00608,County Line Rd,Traffic in lanes farthest from camera moving South,CO,CO1000115
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N196-25-N.jpg&v=00608,0.1 mi N of Dry Creek Rd,Traffic in lanes closest to camera moving North,CO,CO1000116
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N196-25-S.jpg&v=00608,0.1 mi N of Dry Creek Rd,Traffic in lanes farthest from camera moving South,CO,CO1000117
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N197-10-N.jpg&v=00608,0.1 mi S of CO-88 Arapahoe Rd,Traffic in lanes closest to camera moving North,CO,CO1000118
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N197-10-S.jpg&v=00608,0.1 mi S of CO-88 Arapahoe Rd,Traffic in lanes farthest from camera moving South,CO,CO1000119
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S197-65-N.jpg&v=00608,0.4 mi N of CO-88 Arapahoe Rd,North Bound Traffic,CO,CO1000120
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S197-65-S.jpg&v=00608,0.4 mi N of CO-88 Arapahoe Rd,South BoundTraffic,CO,CO1000121
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N198-25-N.jpg&v=00608,Orchard Rd,Traffic in lanes closest to camera moving North,CO,CO1000122
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N198-25-S.jpg&v=00608,Orchard Rd,Traffic in lanes farthest from camera moving South,CO,CO1000123
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S199-45-N.jpg&v=00608,CO-88 Belleview Ave,Traffic in lanes farthest from camera moving North,CO,CO1000124
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S199-45-S.jpg&v=00608,CO-88 Belleview Ave,Traffic in lanes closest to camera moving South,CO,CO1000125
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S200-10-N.jpg&v=00608,I-225 NB,Traffic in lanes closest to camera moving North,CO,CO1000126
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S200-10-E.jpg&v=00608,I-225 NB,View of ramp from SB I-25 to NB I-225,CO,CO1000127
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S200-10-S.jpg&v=00608,I-225 NB,View of I-25 to NB I-225,CO,CO1000128
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S200-10-W.jpg&v=00608,I-225 NB,View of ramp from SB I-25 to NB I-225,CO,CO1000129
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S200-50-N.jpg&v=00608,Quincy Ave Overpass,Traffic in lanes farthest from camera moving North,CO,CO1000130
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S200-50-E.jpg&v=00608,Quincy Ave Overpass,Traffic in lanes closest to camera moving East on Quincy,CO,CO1000131
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S200-50-S.jpg&v=00608,Quincy Ave Overpass,Traffic in lanes closest to camera moving South,CO,CO1000132
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N200-70-N.jpg&v=00608,0.2 mi N of Quincy Ave Overpass,Traffic closest to camera is travelling North,CO,CO1000133
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N200-70-S.jpg&v=00608,0.2 mi N of Quincy Ave Overpass,Traffic furthest from camera is travelling South,CO,CO1000134
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S201-55-N.jpg&v=00608,US-285 Hampden Ave,Traffic in lanes farthest from camera moving North,CO,CO1000135
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S201-55-E.jpg&v=00608,US-285 Hampden Ave,Traffic in lanes closest to camera moving East on Hampden,CO,CO1000136
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S201-55-S.jpg&v=00608,US-285 Hampden Ave,Traffic in lanes closest to camera moving South,CO,CO1000137
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S201-55-W.jpg&v=00608,US-285 Hampden Ave,Traffic in lanes farthest from camera moving West on Hampden,CO,CO1000138
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N202-65-N.jpg&v=00608,Yale Ave,Traffic in lanes closest to camera moving North,CO,CO1000139
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N202-65-E.jpg&v=00608,Yale Ave,Traffic in lanes farthest from camera moving East on Yale,CO,CO1000140
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N202-65-S.jpg&v=00608,Yale Ave,Traffic in lanes farthest from camera moving South,CO,CO1000141
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N203-70-N.jpg&v=00608,Evans Ave,Traffic in lanes closest to camera moving North on I-25 and East on Evans,CO,CO1000142
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N203-70-E.jpg&v=00608,Evans Ave,Traffic in lanes closest to camera moving East on Evans,CO,CO1000143
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N203-70-S.jpg&v=00608,Evans Ave,Traffic in lanes farthest from camera moving South,CO,CO1000144
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N203-70-W.jpg&v=00608,Evans Ave,Traffic in lanes farthest from camera moving West on Evans,CO,CO1000145
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N203-90-N.jpg&v=00608,0.2 mi S of CO-2 Colorado Blvd,Traffic in lanes closest to camera moving North,CO,CO1000146
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N203-90-S.jpg&v=00608,0.2 mi S of CO-2 Colorado Blvd,Traffic in lanes farthest from camera moving South,CO,CO1000147
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N204-10-W.jpg&v=00608,CO-2 Colorado Blvd,Traffic in lanes closest to camera moving North,CO,CO1000148
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N204-10-S.jpg&v=00608,CO-2 Colorado Blvd,Traffic in lanes closest to camera moving East on Colorado,CO,CO1000149
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N204-10-E.jpg&v=00608,CO-2 Colorado Blvd,Traffic in lanes farthest from camera moving South,CO,CO1000150
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N204-10-N.jpg&v=00608,CO-2 Colorado Blvd,Traffic in lanes farthest from camera moving West on Colorado,CO,CO1000151
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N204-95-N.jpg&v=00608,University Blvd,Traffic in lanes closest to camera moving North,CO,CO1000152
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N204-95-S.jpg&v=00608,University Blvd,Traffic in lanes farthest from camera moving South,CO,CO1000153
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S205-40-N.jpg&v=00608,0.3 mi N of University Blvd,Traffic in lanes farthest from camera moving North,CO,CO1000154
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S205-40-S.jpg&v=00608,0.3 mi N of University Blvd,Traffic in lanes closest to camera moving South,CO,CO1000155
